	-0.11	9.80	-6.81	-5.44	-5.00	3449.50
-0.11	0.17	9.77	-0.12	-0.12	0.06	3450.00
-0.07	0.23	9.81	-0.12	0.00	0.00	3450.01
-0.07	0.23	9.81	-0.12	0.00	0.00	3450.02
-0.10	0.20	9.84	-0.06	-0.06	0.06	3450.02
-0.10	0.20	9.84	-0.06	-0.06	0.06	3450.03
-0.11	0.18	9.71	-0.12	0.06	0.00	3450.03
-0.11	0.18	9.71	0.06	0.06	-0.12	3450.04
-0.05	0.23	9.73	0.06	0.06	-0.12	3450.05
-0.07	0.19	9.76	0.00	-0.19	0.06	3450.05
-0.07	0.19	9.76	0.00	-0.19	0.06	3450.06
-0.05	0.22	9.80	0.12	-0.12	-0.12	3450.06
-0.05	0.22	9.80	0.12	-0.12	-0.12	3450.07
-0.04	0.21	9.80	-0.06	-0.12	-0.06	3450.07
-0.04	0.21	9.80	-0.06	-0.12	-0.06	3450.08
-0.04	0.23	9.70	0.06	0.00	-0.06	3450.08
-0.04	0.23	9.70	0.19	0.06	0.00	3450.09
-0.03	0.25	9.72	0.19	0.06	0.00	3450.10
-0.10	0.19	9.81	0.12	-0.06	-0.06	3450.10
-0.10	0.19	9.81	0.12	-0.06	-0.06	3450.11
-0.08	0.20	9.78	0.12	-0.06	0.00	3450.11
-0.08	0.20	9.78	0.12	-0.06	0.00	3450.12
-0.09	0.18	9.76	-0.06	-0.37	-0.12	3450.12
-0.09	0.18	9.76	-0.06	-0.37	-0.12	3450.13
-0.05	0.19	9.68	0.00	-0.19	0.06	3450.13
-0.05	0.19	9.68	0.12	0.12	-0.12	3450.14
-0.09	0.21	9.74	0.12	0.12	-0.12	3450.15
-0.10	0.18	9.78	0.00	-0.06	0.06	3450.15
-0.10	0.18	9.78	0.00	-0.06	0.06	3450.16
-0.08	0.19	9.80	0.12	0.06	0.00	3450.16
-0.08	0.19	9.80	0.12	0.06	0.00	3450.17
-0.06	0.18	9.79	0.00	0.00	0.00	3450.17
-0.06	0.18	9.79	0.00	0.00	0.00	3450.18
-0.06	0.22	9.71	-0.06	-0.06	-0.06	3450.18
-0.06	0.22	9.71	-0.06	-0.06	0.00	3450.19
-0.08	0.21	9.71	-0.06	-0.06	0.00	3450.20
-0.07	0.21	9.77	0.06	0.12	0.00	3450.20
-0.07	0.21	9.77	0.06	0.12	0.00	3450.21
-0.07	0.22	9.78	0.12	0.12	0.00	3450.21
-0.07	0.22	9.78	0.12	0.12	0.00	3450.22
-0.07	0.20	9.79	0.06	0.12	0.00	3450.22
-0.07	0.20	9.79	0.00	-0.06	0.00	3450.23
-0.05	0.20	9.71	0.00	-0.06	0.00	3450.24
-0.07	0.19	9.76	-0.06	-0.12	0.00	3450.24
-0.07	0.19	9.76	-0.06	-0.12	0.00	3450.25
-0.06	0.21	9.78	0.12	0.25	-0.12	3450.25
-0.06	0.21	9.78	0.12	0.25	-0.12	3450.26
-0.06	0.23	9.80	-0.06	0.00	0.12	3450.26
-0.06	0.23	9.80	0.06	-0.12	0.06	3450.27
-0.06	0.22	9.82	0.06	-0.12	0.06	3450.28
-0.07	0.19	9.70	0.00	0.00	0.00	3450.28
-0.07	0.19	9.70	0.00	0.00	0.00	3450.29
-0.05	0.20	9.71	0.06	-0.19	0.00	3450.29
-0.05	0.20	9.71	0.06	-0.19	0.00	3450.30
-0.06	0.21	9.76	0.12	-0.19	0.00	3450.30
-0.06	0.21	9.76	0.12	-0.19	0.00	3450.31
-0.07	0.21	9.79	-0.06	0.00	0.06	3450.32
-0.07	0.21	9.79	0.00	0.06	-0.06	3450.32
-0.09	0.22	9.75	0.00	0.06	-0.06	3450.33
-0.07	0.19	9.67	-0.06	-0.12	0.00	3450.33
-0.07	0.19	9.67	-0.06	-0.12	0.00	3450.34
-0.07	0.20	9.72	-0.12	0.06	-0.06	3450.34
-0.07	0.20	9.72	-0.06	0.00	0.00	3450.35
-0.05	0.20	9.78	-0.06	0.00	0.00	3450.35
-0.05	0.20	9.78	-0.12	-0.06	0.12	3450.36
-0.07	0.21	9.79	-0.12	-0.06	0.12	3450.37
-0.07	0.20	9.79	-0.12	0.06	0.00	3450.37
-0.07	0.20	9.79	-0.12	0.06	0.00	3450.38
-0.10	0.26	9.70	0.06	0.00	0.06	3450.38
-0.10	0.26	9.70	0.06	0.00	0.06	3450.39
-0.07	0.19	9.75	-0.12	-0.06	0.06	3450.39
-0.07	0.19	9.75	-0.12	0.06	0.00	3450.40
-0.04	0.20	9.78	-0.12	0.06	0.00	3450.41
-0.04	0.20	9.78	-0.06	0.06	-0.06	3450.41
-0.05	0.22	9.79	-0.06	0.06	-0.06	3450.42
-0.08	0.22	9.81	0.00	0.19	0.06	3450.42
-0.08	0.22	9.81	0.00	0.19	0.06	3450.43
-0.07	0.23	9.71	-0.06	0.12	0.06	3450.43
-0.07	0.23	9.71	-0.12	0.19	-0.12	3450.44
-0.06	0.20	9.75	-0.12	0.19	-0.12	3450.45
-0.04	0.22	9.76	-0.06	0.12	-0.06	3450.45
-0.04	0.22	9.76	-0.06	0.12	-0.06	3450.46
-0.07	0.19	9.79	-0.06	0.00	0.12	3450.46
-0.07	0.19	9.79	-0.06	0.00	0.12	3450.47
-0.09	0.20	9.74	0.00	0.06	-0.06	3450.47
-0.09	0.20	9.74	0.00	0.06	-0.06	3450.48
-0.08	0.19	9.71	-0.12	0.12	0.00	3450.48
-0.08	0.19	9.71	-0.06	0.00	0.00	3450.49
-0.06	0.20	9.73	-0.06	0.00	0.00	3450.50
-0.06	0.20	9.73	-0.12	-0.06	0.00	3450.50
-0.09	0.19	9.77	-0.12	-0.06	0.00	3450.51
-0.09	0.19	9.77	-0.06	0.00	0.00	3450.51
-0.09	0.21	9.77	-0.06	0.00	0.00	3450.52
-0.08	0.19	9.80	-0.12	-0.12	0.00	3450.52
-0.08	0.19	9.80	-0.12	-0.12	0.00	3450.53
-0.06	0.20	9.71	0.12	0.12	0.00	3450.54
-0.06	0.20	9.71	-0.12	0.06	-0.06	3450.54
-0.08	0.20	9.74	-0.12	0.06	-0.06	3450.55
-0.07	0.21	9.78	-0.06	0.19	-0.06	3450.55
-0.07	0.21	9.78	-0.06	0.19	-0.06	3450.56
-0.07	0.20	9.78	0.00	0.19	0.00	3450.56
-0.07	0.20	9.78	0.00	0.19	0.00	3450.57
-0.07	0.21	9.76	-0.12	0.19	-0.06	3450.57
-0.07	0.21	9.76	-0.12	0.19	-0.06	3450.58
-0.08	0.20	9.69	0.00	0.19	0.06	3450.59
-0.08	0.20	9.69	0.06	0.25	-0.12	3450.59
-0.07	0.18	9.74	0.06	0.25	-0.12	3450.60
-0.03	0.22	9.79	-0.12	-0.06	0.06	3450.60
-0.03	0.22	9.79	-0.12	-0.06	0.06	3450.61
-0.03	0.23	9.77	0.06	0.12	-0.19	3450.61
-0.03	0.23	9.77	0.06	0.12	-0.19	3450.62
-0.08	0.21	9.78	0.06	0.06	-0.12	3450.62
-0.08	0.21	9.78	0.06	0.06	-0.12	3450.63
-0.06	0.21	9.69	0.06	0.00	0.00	3450.64
-0.06	0.21	9.69	-0.12	0.12	0.06	3450.64
-0.08	0.18	9.73	-0.12	0.12	0.06	3450.65
-0.04	0.21	9.76	0.06	-0.06	-0.12	3450.65
-0.04	0.21	9.76	0.06	-0.06	-0.12	3450.66
-0.06	0.22	9.78	0.00	-0.06	0.06	3450.66
-0.06	0.22	9.78	0.00	-0.06	0.06	3450.67
-0.08	0.22	9.73	-0.12	0.12	0.00	3450.68
-0.08	0.22	9.73	-0.12	0.12	0.00	3450.68
-0.08	0.21	9.69	0.00	-0.06	0.00	3450.69
-0.08	0.21	9.69	0.00	0.06	0.00	3450.69
-0.06	0.19	9.74	0.00	0.06	0.00	3450.70
-0.08	0.19	9.76	0.06	-0.06	-0.12	3450.70
-0.08	0.19	9.76	0.06	-0.06	-0.12	3450.71
-0.06	0.20	9.80	-0.12	0.06	0.06	3450.71
-0.06	0.20	9.80	-0.12	0.06	0.06	3450.72
-0.07	0.21	9.78	0.00	-0.06	0.00	3450.72
-0.07	0.21	9.78	0.00	-0.06	0.00	3450.73
-0.06	0.18	9.70	0.00	0.12	-0.12	3450.74
-0.06	0.18	9.70	0.12	0.00	-0.12	3450.74
-0.09	0.21	9.71	0.12	0.00	-0.12	3450.75
-0.08	0.19	9.77	0.06	0.00	-0.12	3450.75
-0.08	0.19	9.77	0.06	0.00	-0.12	3450.76
-0.05	0.21	9.78	0.00	0.00	0.00	3450.76
-0.05	0.21	9.78	0.00	0.00	0.00	3450.77
-0.05	0.22	9.79	-0.12	-0.19	0.00	3450.77
-0.05	0.22	9.79	-0.12	-0.19	0.00	3450.78
-0.10	0.20	9.72	-0.19	-0.06	-0.06	3450.79
-0.10	0.20	9.72	-0.06	0.06	-0.06	3450.79
-0.05	0.23	9.74	-0.06	0.06	-0.06	3450.80
-0.05	0.20	9.80	-0.06	0.06	0.00	3450.80
-0.05	0.20	9.80	-0.06	0.06	0.00	3450.81
-0.05	0.20	9.80	-0.12	0.00	0.00	3450.81
-0.07	0.20	9.79	-0.12	0.00	0.00	3450.82
-0.05	0.21	9.72	-0.06	-0.12	0.12	3450.82
-0.05	0.21	9.72	-0.06	-0.12	0.12	3450.83
-0.08	0.18	9.68	0.00	-0.12	0.06	3450.84
-0.08	0.18	9.68	-0.12	-0.31	0.06	3450.84
-0.10	0.21	9.73	-0.12	-0.31	0.06	3450.85
-0.07	0.18	9.76	-0.06	-0.06	0.00	3450.85
-0.07	0.18	9.76	-0.06	-0.06	0.00	3450.86
-0.07	0.17	9.79	0.06	-0.12	0.00	3450.86
-0.07	0.17	9.79	0.06	-0.12	0.00	3450.87
-0.07	0.19	9.77	0.00	0.00	0.19	3450.87
-0.07	0.19	9.77	0.00	0.00	0.19	3450.88
-0.07	0.19	9.71	-0.06	-0.06	0.00	3450.89
-0.07	0.19	9.71	-0.12	0.06	-0.06	3450.89
-0.06	0.19	9.71	-0.12	0.06	-0.06	3450.90
-0.07	0.20	9.77	-0.06	-0.06	0.12	3450.90
-0.07	0.20	9.77	-0.06	-0.06	0.12	3450.91
-0.04	0.21	9.79	0.00	0.12	0.06	3450.91
-0.04	0.21	9.79	0.00	0.12	0.06	3450.92
-0.07	0.20	9.79	0.06	0.06	0.12	3450.93
-0.07	0.20	9.79	0.06	0.06	0.12	3450.93
-0.06	0.20	9.71	0.00	0.06	0.12	3450.94
-0.06	0.20	9.71	0.06	0.12	-0.06	3450.94
-0.06	0.21	9.76	0.06	0.12	-0.06	3450.95
-0.09	0.21	9.79	0.06	0.06	0.25	3450.95
-0.09	0.21	9.79	0.06	0.06	0.25	3450.96
-0.08	0.21	9.79	-0.12	0.00	0.00	3450.97
-0.08	0.21	9.79	-0.12	0.00	0.00	3450.97
-0.08	0.23	9.80	-0.06	-0.12	0.19	3450.98
-0.08	0.23	9.80	-0.06	-0.12	0.19	3450.98
-0.06	0.23	9.71	0.12	-0.12	0.06	3450.99
-0.06	0.23	9.71	-0.12	-0.12	0.19	3450.99
-0.07	0.22	9.74	-0.12	-0.12	0.19	3451.00
-0.10	0.21	9.76	0.00	0.00	0.06	3451.00
-0.10	0.21	9.76	0.00	0.00	0.06	3451.01
-0.08	0.21	9.80	0.00	0.06	0.06	3451.02
-0.08	0.21	9.80	0.00	0.06	0.06	3451.02
-0.10	0.21	9.75	-0.06	0.06	0.19	3451.03
-0.10	0.21	9.75	-0.06	0.06	0.19	3451.03
-0.08	0.19	9.67	-0.12	-0.06	0.12	3451.04
-0.08	0.19	9.67	0.00	-0.06	0.06	3451.04
-0.06	0.21	9.72	0.00	-0.06	0.06	3451.05
-0.08	0.21	9.75	-0.25	-0.06	0.12	3451.06
-0.08	0.21	9.75	-0.25	-0.06	0.12	3451.06
-0.07	0.21	9.81	-0.12	0.00	0.06	3451.07
-0.07	0.21	9.81	-0.12	0.00	0.06	3451.07
-0.07	0.22	9.75	-0.12	-0.06	0.06	3451.08
-0.07	0.22	9.75	-0.12	-0.06	0.06	3451.08
-0.09	0.20	9.70	-0.06	0.06	0.00	3451.09
-0.09	0.20	9.70	-0.06	-0.12	0.06	3451.09
-0.06	0.21	9.71	-0.06	-0.12	0.06	3451.10
-0.05	0.19	9.79	-0.12	-0.12	0.00	3451.11
-0.05	0.19	9.79	-0.12	-0.12	0.00	3451.11
-0.06	0.22	9.79	0.06	0.00	0.06	3451.12
-0.06	0.22	9.79	0.06	0.00	0.06	3451.12
-0.06	0.18	9.81	0.00	0.00	0.06	3451.13
-0.06	0.18	9.81	0.00	0.00	0.06	3451.13
-0.07	0.18	9.72	-0.19	-0.06	0.00	3451.14
-0.07	0.18	9.72	-0.06	0.06	-0.12	3451.15
-0.07	0.17	9.77	-0.06	0.06	-0.12	3451.15
-0.07	-0.45	10.15	-0.06	0.00	0.12	3451.16
-0.07	-0.45	10.15	-0.06	0.00	0.12	3451.16
-0.19	0.19	9.89	2.50	3.88	2.69	3451.17
-0.19	0.19	9.89	2.50	3.88	2.69	3451.17
-0.45	0.36	9.78	5.19	6.69	5.19	3451.18
-0.45	0.36	9.78	5.19	6.69	5.19	3451.18
-0.26	0.24	9.70	6.56	6.19	4.56	3451.19
-0.26	0.24	9.70	6.56	6.19	4.56	3451.19
-0.01	0.38	9.81	6.19	5.31	5.06	3451.20
-0.01	0.38	9.81	6.06	4.81	4.75	3451.21
0.04	0.45	9.57	6.06	4.81	4.75	3451.21
0.04	0.45	9.57	6.06	4.81	4.75	3451.21
0.29	0.43	9.64	3.88	3.06	2.81	3451.22
0.29	0.43	9.64	3.88	3.06	2.81	3451.23
0.09	0.18	9.73	3.31	2.81	2.44	3451.23
0.00	0.54	9.60	3.00	2.44	2.44	3451.24
0.00	0.54	9.60	3.00	2.44	2.44	3451.24
-0.22	0.15	9.79	3.00	2.25	2.38	3451.25
-0.22	0.15	9.79	3.00	2.25	2.38	3451.25
0.03	0.36	9.62	2.25	1.94	1.63	3451.26
0.03	0.36	9.62	2.25	1.94	1.63	3451.26
0.06	0.29	9.76	1.75	1.31	1.25	3451.27
0.06	0.29	9.76	1.75	1.31	1.25	3451.27
-0.33	0.23	9.80	1.25	1.00	1.00	3451.28
-0.33	0.23	9.80	1.25	1.00	1.00	3451.28
-0.02	0.34	9.69	0.94	0.75	0.88	3451.29
-0.02	0.34	9.69	0.63	0.31	0.44	3451.30
-0.02	0.35	9.66	0.63	0.31	0.44	3451.30
0.00	0.28	9.73	0.12	0.37	0.12	3451.31
0.00	0.28	9.73	0.12	0.37	0.12	3451.31
-0.13	0.37	9.78	-0.06	-0.12	0.19	3451.32
-0.13	0.37	9.78	-0.06	-0.12	0.19	3451.32
-0.21	0.20	9.83	-0.12	-0.12	0.06	3451.33
-0.21	0.20	9.83	-0.12	-0.12	0.06	3451.33
-0.07	0.37	9.65	-0.06	0.00	0.12	3451.34
-0.07	0.37	9.65	-0.06	-0.12	-0.06	3451.35
-0.16	0.23	9.74	-0.06	-0.12	-0.06	3451.35
-0.14	0.34	9.77	0.00	0.06	0.06	3451.36
-0.14	0.34	9.77	0.00	0.06	0.06	3451.36
-0.13	0.25	9.79	-0.06	0.00	0.19	3451.37
-0.13	0.25	9.79	-0.06	0.00	0.19	3451.37
-0.19	0.29	9.76	0.00	0.06	0.06	3451.38
-0.19	0.29	9.76	0.00	0.06	0.06	3451.38
-0.14	0.29	9.68	0.00	-0.12	0.19	3451.39
-0.14	0.29	9.68	0.00	-0.12	0.19	3451.40
-0.17	0.27	9.72	-0.12	-0.19	0.06	3451.40
-0.17	0.27	9.72	0.00	-0.12	-0.06	3451.41
-0.13	0.27	9.79	0.00	-0.12	-0.06	3451.41
-0.13	0.27	9.79	-0.06	-0.12	0.19	3451.42
-0.14	0.27	9.81	-0.06	-0.12	0.19	3451.42
-0.15	0.28	9.79	-0.06	-0.06	0.00	3451.43
-0.15	0.28	9.79	-0.06	-0.06	0.00	3451.43
-0.16	0.28	9.70	-0.12	-0.06	0.25	3451.44
-0.16	0.28	9.70	-0.12	-0.06	0.25	3451.45
-0.12	0.27	9.73	-0.06	-0.06	0.12	3451.45
-0.12	0.27	9.73	-0.12	0.00	0.06	3451.46
-0.13	0.30	9.75	-0.12	0.00	0.06	3451.46
-0.13	0.30	9.75	-0.12	-0.06	0.12	3451.47
-0.15	0.27	9.80	-0.12	-0.06	0.12	3451.47
-0.14	0.30	9.78	-0.25	0.12	0.12	3451.48
-0.14	0.30	9.78	-0.25	0.12	0.12	3451.48
-0.11	0.29	9.68	0.00	-0.12	0.12	3451.49
-0.11	0.29	9.68	0.00	-0.12	0.12	3451.50
-0.12	0.27	9.76	-0.06	-0.19	0.06	3451.50
-0.12	0.27	9.76	-0.06	-0.06	0.06	3451.51
-0.14	0.29	9.78	-0.06	-0.06	0.06	3451.51
-0.14	0.29	9.78	-0.06	-0.12	0.12	3451.52
-0.15	0.27	9.79	-0.06	-0.12	0.12	3451.52
-0.15	0.29	9.79	-0.12	0.00	0.06	3451.53
-0.15	0.29	9.79	-0.12	0.00	0.06	3451.54
-0.16	0.29	9.70	-0.06	-0.12	0.00	3451.54
-0.16	0.29	9.70	-0.06	-0.12	0.00	3451.55
-0.13	0.29	9.73	0.06	0.06	0.12	3451.55
-0.13	0.29	9.73	0.19	0.00	-0.12	3451.56
-0.13	0.29	9.76	0.19	0.00	-0.12	3451.56
-0.13	0.29	9.76	-0.06	-0.19	0.19	3451.57
-0.15	0.27	9.79	-0.06	-0.19	0.19	3451.57
-0.14	0.27	9.76	-0.12	-0.06	0.00	3451.58
-0.14	0.27	9.76	-0.12	-0.06	0.00	3451.59
-0.14	0.26	9.69	-0.12	0.00	0.12	3451.59
-0.14	0.26	9.69	-0.12	0.00	0.12	3451.60
-0.16	0.27	9.75	-0.12	0.12	0.12	3451.60
-0.16	0.27	9.75	0.00	-0.06	-0.06	3451.61
-0.11	0.29	9.73	0.00	-0.06	-0.06	3451.61
-0.11	0.29	9.73	-0.12	0.19	0.00	3451.62
-0.15	0.28	9.80	-0.12	0.19	0.00	3451.62
-0.13	0.28	9.77	0.00	0.12	0.00	3451.63
-0.13	0.28	9.77	0.00	0.12	0.00	3451.64
-0.17	0.28	9.67	-0.06	-0.19	0.00	3451.64
-0.17	0.28	9.67	-0.06	-0.19	0.00	3451.65
-0.13	0.29	9.70	-0.06	-0.12	0.06	3451.65
-0.13	0.29	9.70	-0.12	-0.19	0.19	3451.66
-0.15	0.26	9.79	-0.12	-0.19	0.19	3451.66
-0.15	0.26	9.79	-0.12	-0.25	0.00	3451.67
-0.13	0.27	9.78	-0.12	-0.25	0.00	3451.67
-0.14	0.28	9.82	-0.06	0.06	0.19	3451.68
-0.14	0.28	9.82	-0.06	0.06	0.19	3451.69
-0.14	0.27	9.70	0.06	0.00	0.31	3451.69
-0.14	0.27	9.70	0.06	0.00	0.31	3451.70
-0.13	0.29	9.76	-0.12	-0.12	0.06	3451.70
-0.13	0.29	9.76	0.00	-0.12	0.06	3451.71
-0.16	0.28	9.78	0.00	-0.12	0.06	3451.71
-0.16	0.28	9.78	0.06	0.06	0.06	3451.72
-0.15	0.28	9.79	0.06	0.06	0.06	3451.72
-0.12	0.28	9.81	0.00	-0.12	0.00	3451.73
-0.12	0.28	9.81	0.00	-0.12	0.00	3451.74
-0.12	0.31	9.72	-0.12	-0.12	0.00	3451.74
-0.12	0.31	9.72	-0.12	-0.12	0.00	3451.75
-0.14	0.27	9.72	-0.06	-0.06	0.19	3451.75
-0.14	0.27	9.72	0.06	-0.06	0.06	3451.76
-0.16	0.30	9.77	0.06	-0.06	0.06	3451.76
-0.16	0.30	9.77	0.00	0.00	0.06	3451.77
-0.13	0.28	9.78	0.00	0.00	0.06	3451.77
-0.13	0.28	9.75	0.00	-0.06	0.00	3451.78
-0.13	0.28	9.75	0.00	-0.06	0.00	3451.79
-0.13	0.29	9.70	-0.12	-0.12	0.00	3451.79
-0.13	0.29	9.70	-0.12	-0.12	0.00	3451.80
-0.15	0.27	9.72	-0.06	-0.06	-0.06	3451.80
-0.15	0.27	9.72	-0.06	-0.25	0.00	3451.81
-0.14	0.29	9.75	-0.06	-0.25	0.00	3451.81
-0.14	0.29	9.75	0.00	-0.12	-0.06	3451.82
-0.15	0.27	9.81	0.00	-0.12	-0.06	3451.83
-0.14	0.28	9.75	-0.06	-0.06	0.12	3451.83
-0.14	0.28	9.75	-0.06	-0.06	0.12	3451.84
-0.13	0.28	9.70	-0.19	-0.12	0.00	3451.84
-0.13	0.28	9.70	-0.19	-0.12	0.00	3451.85
-0.14	0.27	9.73	0.00	-0.12	0.06	3451.85
-0.14	0.27	9.73	0.06	-0.06	0.06	3451.86
-0.12	0.28	9.77	0.06	-0.06	0.06	3451.86
-0.12	0.28	9.77	0.00	0.06	0.00	3451.87
-0.15	0.27	9.78	0.00	0.06	0.00	3451.88
-0.14	0.28	9.78	-0.06	-0.19	0.06	3451.88
-0.14	0.28	9.78	-0.06	-0.19	0.06	3451.89
-0.15	0.27	9.71	-0.06	-0.19	0.12	3451.89
-0.15	0.27	9.71	-0.06	-0.19	0.12	3451.90
-0.12	0.28	9.73	-0.12	-0.06	0.00	3451.90
-0.12	0.28	9.73	0.00	-0.06	0.06	3451.91
-0.14	0.27	9.74	0.00	-0.06	0.06	3451.91
-0.14	0.27	9.74	-0.12	-0.06	0.00	3451.92
-0.13	0.28	9.82	-0.12	-0.06	0.00	3451.93
-0.16	0.28	9.74	-0.06	-0.06	0.00	3451.93
-0.16	0.28	9.74	-0.06	-0.06	0.00	3451.94
-0.13	0.28	9.70	-0.06	-0.19	0.00	3451.94
-0.13	0.28	9.70	-0.06	-0.19	0.00	3451.95
-0.12	0.29	9.71	-0.12	-0.19	0.19	3451.95
-0.12	0.29	9.71	0.12	-0.06	-0.06	3451.96
-0.15	0.27	9.76	0.12	-0.06	-0.06	3451.96
-0.15	0.27	9.76	0.06	-0.06	0.06	3451.97
-0.15	0.29	9.78	0.06	-0.06	0.06	3451.98
-0.13	0.28	9.78	-0.06	-0.06	0.06	3451.98
